연도,무연탄,,유연탄,,중유,,경유,,가스,,열량계10^9kcal
,"1,000ton",kcal/kg,"1,000ton",kcal/kg,"1,000㎘",kcal/ℓ,"1,000㎘",kcal/ℓ,"1,000ton",kcal/kg,
2024,926.464,5174,55486.788,5504,0.496,10036,275.48,8828,11089.274,13159,458553
2023,913.726,5201,59378.751,5507,14.835,10027,279.536,8881,10761.227,13130,475692
2022,884.962,5110.768,65202.077,5458.146,113.554,9943.958,261.046,8910.409,12203.303,13078.822,523465.3114
2021,899.642,5148.122,66877.894,5562.956,290.828,9840.223,206.882,8950.787,12461.751,13083.132,544422.576
2020,971.16,5090,69093.952,5597,283.175,9872,168.777,8929,10144.036,13335,531237.4
2019,1164.84,5178.586,83321.351,5504.951,361.925,9960.085,322.568,8923.535,8890.733,12966.669,586478.585
2018,991.627,5265.346,89549.253,5373.345,1013.229,10069.005,215.128,8932.289,9889.585,13096.103,628042.712
2017,1078.762,5387.13,89217.393,5479.132,927.885,10003.037,173.561,8993.281,8161.279,13157.506,612869.972
2016,2528.364,5563.096,78044.996,5574.761,2783.521,9768.372,155.203,9452.084,8283.596,13467.641,589365.552
2015,2125.486,5706.062,79432.656,5607.453,1850.64,10027.851,111.411,8894.499,8763.724,12734.943,588697.332
2014,2043.992,5548.985,77687.852,5616.736,1581.186,9928.011,110.897,8780.878,12497.193,12659.459,622573.747
2013,1728.664,5439.605,78759.805,5551.853,3401.69,9962.933,149.123,8873.547,17004.866,13131.706,705183.052
2012,1796.721,4750.311302,78804.624,5057.470113,3272.118741,9766.336822,140.699568,8903.377011,15320.73396,13273.21867,643651.7818
2011,1658.801,4722.912,79854.167,5432.595,2050.365,9996.14,123.832,8770.339,13609.052,13221.223,645743.042
2010,2404.05,4456.116,76402.994,5554.544,2710.659,9974.888,113.687,8781.55,12914.479,13052.475,631699.32
2009,2690.328,4590.655,71092.318,5761.385,2943.672,9940.157,112.178,8742.589,8596.732,13219.967,565830.362
2008,2534.021,4754.543,63238.083,4218.827,2034.6,9964.809,106.928,8827.781,10515.372,13042.842,538040.617
2007,2392.411,4545.365,55949.781,5871.024,3899.079,9972.275,119.848,8908.166,10828.751,13033.883,520451.978
2006,2345.136,4559.875,50258.47,5867.985,3633.402,9897.478,156.075,8906.978,9466.086,13011.188,466474.223
